,state,total_vet_pop,female,med_inc,gulf2,gulf1,vietnam,korean,world2,peace,bachelor,enrolled,uninsured,disabil,VA,18-29,30-44,45-54,55-64,65+,-10k,10k-14.9k,15k-24.9k,25k-34.9k,35k-49.9k,50k-74.9,75k-99.9k,100k-149.9k,150k-199.9k,200k+,suicide_rate
28,Missouri,479828,6.327684087,54311,9.8,11.7,34.5,10.7,7.6,25.6,22.15439699,3.738006119,6.646756755,15.50472253,29.91217686,4.17316205,12.7,15.3,24.7,43.07689422,3.54,3.6,9.46,11.67,17.03,22.25,13.66,12.67,3.48,2.64,59.8
29,Montana,94404,6.857760264,52195,10.7,12.1,35.9,10.1,6.4,24.8,24.73306216,3.580356765,8.405364179,19.51294437,36.93487564,4.653404517,12.8,13.9,24.75,43.89114868,3.75,4.28,11.22,12.05,16.06,22.29,13.66,11.52,2.9,2.28,37.2
30,Nebraska,142176,7.613802611,59027,13.2,12.8,32,11.8,8.1,22.1,24.43520707,4.917144947,5.201299797,23.85212694,32.63771663,5.773126266,13.95,14.6,22.5,43.08744092,2.44,3.42,8.35,10.39,16.24,22.71,14.25,14.91,4.22,3.07,25.8
31,Nevada,226555,7.725276423,64198,12.2,13.3,34.4,9.3,5.2,25.7,23.43934144,4.958177926,6.917084152,16.8775794,31.38354925,4.854450354,14.75,15.6,22.9,41.82339829,3.48,2.89,8.21,9.28,13.51,21.38,14.99,16.34,5.91,4.01,59.8
32,New Hampshire,112790,7.363241422,69664,8.3,10.4,35.2,10.4,7.7,28,28.2906286,3.000265981,5.021721784,14.39666637,25.00398972,3.158967994,11.17,17.6,23.47,44.57487366,2.14,2.17,7.33,8.8,14.1,19.42,15.55,18.26,6.87,5.35,29.1
33,New Jersey,437652,5.244349392,75332,7.8,7.5,32.7,14,11.8,26.3,27.64068255,2.953031175,4.026943782,11.70473344,19.91856544,3.498213192,9.16,11.8,20.7,54.77205634,2.33,2.2,6.17,8.07,12.23,18.77,15.03,18.92,8.58,7.69,37
34,New Mexico,172717,8.432290973,59352,13.2,12.8,34.9,9.1,6.2,23.9,29.55817899,5.603964867,7.208902424,19.21003723,31.10695531,4.99140212,14.4,15.88,24.18,40.50093506,4.06,3.59,9.03,9.66,15.14,20.63,14.48,14.47,5.18,3.75,45.8
35,New York,912499,5.634526723,64555,8.6,8.4,31.7,12.9,11.2,27.3,25.22019202,3.246140544,3.803620607,12.63332891,27.52452331,3.826086385,10.6,13.4,21.4,50.68969939,3.23,3.03,7.76,9.38,14.09,20.2,14.19,15.62,6.39,6.12,32.1
36,North Carolina,724295,8.752925258,59220,13,14.7,33,8.3,5.9,25.1,25.09336665,5.251313346,7.159099538,19.30180382,29.03499265,5.037864406,15.4,17.1,23.33,39.1404055,3.11,3.23,8.49,10.24,16,22.19,15.29,13.93,4.2,3.33,53.8
37,North Dakota,53157,7.583196945,61793,16,11,33.7,10.4,7,21.9,20.75737908,4.42274771,4.513046259,19.68320259,33.81116316,7.528641571,13.3,12.96,25.7,40.49325583,3.12,2.69,7.54,10.64,14.94,22.81,15.79,14.5,4.35,3.6,48.8
38,Ohio,864923,6.000534152,54379,8.1,10.8,34.3,10.9,8.6,27.3,19.48242792,3.62286585,5.877286186,12.81004205,26.34558221,3.436490878,12.59,15.33,24.4,44.21526541,3.49,3.44,9.38,11.83,17.24,21.81,13.96,12.5,3.71,2.62,37.9
39,Oklahoma,312492,7.08242131,55620,13,13.1,34.9,9.5,6.3,23.2,23.40859926,4.074344303,8.081806894,23.03866979,32.84692088,5.028288724,14.9,14.59,24.2,41.26281633,3.57,3.97,9.31,11.07,16.19,22.32,13.93,12.76,4.12,2.76,25.1
40,Oregon,323205,6.791045931,57061,7.9,10.7,37.2,9.9,8.7,25.6,26.50918148,3.924134837,7.056512121,16.91867391,31.22662088,3.513250104,12,13.4,25,46.10510357,3.44,3.78,9.28,10.5,16.06,22.11,14.55,13.38,3.84,3.05,38.9
41,Pennsylvania,943417,5.636425886,56781,8.1,9.4,33,12.2,10.5,26.8,20.74904311,2.6975346,4.586625003,11.67871683,25.26687562,3.417576745,11,13.5,22.7,49.45236306,2.83,3.29,9.25,11.57,16.3,21.42,14.08,13.33,4.43,3.49,47.9
42,Rhode Island,70621,6.335226066,65980,10.2,8.4,32.4,13.4,10.6,25,29.36520298,3.270981719,4.443437504,14.12186177,26.82771414,3.419662707,11.1,13.76,21.62,50.07150847,2.84,2.86,8.68,8.67,13.27,20.26,14.79,16.59,7.04,5.01,36.9
43,South Carolina,391660,8.518102436,58792,12.8,14.8,34,8.4,5.3,24.7,26.61287852,4.832252464,7.204718378,18.52627279,30.19481183,5.117193484,14.4,16.8,23.9,39.77991115,3.42,3.32,8.65,10.18,15.83,22.06,14.59,14.1,4.55,3.29,37
44,South Dakota,67886,7.777745043,56847,13.1,11.7,32.5,11.8,7.2,23.7,22.5878679,3.885926406,5.416433433,19.61965648,43.0265445,4.986300563,13.5,15.1,23.99,42.43437528,3.23,4.07,9.1,10.13,16.32,22.64,16.29,12.6,2.55,3.06,62.4
45,Tennessee,484901,7.274268356,55244,11.5,13,34.8,8.9,5.9,25.8,22.52954727,3.860994306,6.97647561,17.35508898,27.83413522,4.6407411,13.5,16.4,24.87,40.59612168,3.56,3.77,9.58,11.11,16.57,22.02,13.78,12.64,3.63,3.34,54.9
46,Texas,1583272,8.683346892,65984,14.9,15.6,33,7.9,5.7,22.9,28.19982921,5.606238221,8.225813379,19.80449348,29.32357801,6.154217342,17.6,15.6,22.7,37.91490028,3.06,2.9,7.41,8.93,13.78,20.62,15.09,16.68,6.3,5.23,32.9
47,Utah,143771,6.072851966,65206,14.8,12.1,32,10.8,7.8,22.4,31.98558819,5.897573224,6.293341494,16.1179932,26.07897281,5.351566032,14.66,13.3,22.56,44.12294552,2.59,2.52,7.01,8.84,15.02,22.01,16.3,16.09,5.56,4.05,39.2
48,Vermont,48456,6.599801882,58413,7.4,8.6,35.8,10.7,8.1,29.4,27.35884101,2.131830939,4.013950801,12.87766221,27.9717682,2.802542513,9.7,16.36,24,47.13967311,2.81,3.46,9.07,9.96,16.19,22.23,14.29,13.8,4.93,3.28,49
49,Virginia,726470,11.90496511,82865,21.7,17.6,28.8,6.5,4.7,20.7,35.29450631,6.755819235,4.858975594,19.60989442,20.27791925,6.600272551,18.1,19.56,22.2,33.50379231,2.02,1.85,5.23,6.7,10.82,18.4,14.53,19.33,9.8,11.32,36.1
50,Washington,582265,8.591105425,67912,13,13.9,34.9,8.2,6.2,23.8,29.0962019,4.72499635,5.874472963,17.79035319,23.87503972,4.913055052,14.98,16.4,24.4,39.21856886,2.65,2.62,6.56,8.25,13.62,21.85,15.99,17.68,6.1,4.7,55
51,West Virginia,159448,5.175982138,48786,8.8,11.2,36.4,10.6,7.1,25.9,16.36520997,2.872409814,6.435326878,18.23603934,36.77311725,3.55037379,12.9,13.28,25.87,44.38625759,3.69,4.27,11.91,13.56,18.01,21.74,12.01,10.22,2.61,1.99,14.8
52,Wisconsin,408870,6.353119573,56311,8.6,10.1,34,11.2,8.8,27.3,20.8873236,3.845721134,4.287915474,14.91378678,29.08626214,3.988309243,11.78,14.45,24.09,45.69838824,2.93,3.11,9.26,11.23,17.05,22.99,14.9,12.82,3.41,2.32,0
53,Wyoming,50852,7.401872099,62865,14.4,15,34.3,9.4,5.7,21.2,21.29906395,5.089278691,5.905372453,19.83009518,37.44395501,6.463855896,16.3,14.16,25.58,37.53441359,2.43,3.61,7.77,9.15,14.76,22.84,15.94,16.51,4.54,2.45,0
54,Puerto Rico,105823,4.38940495,33338,11.2,7.6,29.1,21.6,4.8,25.8,29.37074171,3.687289153,3.383952449,23.35220132,44.33251751,3.252601041,9.1,12.55,20.59,54.4607505,8.13,9.34,19.65,15.2,17.17,16.13,7.6,4.92,0.89,0.98,0
